#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2008-11-05,43,16468,0,19525,5646,62,580,314,0,0,1354,0,,
2008-11-05,44,15240,0,18892,5644,68,628,299,0,0,1386,0,,
2008-11-05,45,14402,0,18154,5648,64,286,301,0,0,1362,0,,
2008-11-05,46,13170,0,17843,5647,62,0,285,0,0,1360,0,,
2008-11-05,47,12520,0,17339,5655,55,0,249,0,0,1838,0,,
2008-11-05,48,12492,0,16346,5654,41,0,238,0,0,1846,0,,
2008-11-06,1,12563,0,16532,5659,29,0,238,0,0,1844,0,,
2008-11-06,2,12302,0,16479,5657,31,0,238,0,0,1846,0,,
2008-11-06,3,12070,0,16612,5658,27,0,227,0,0,1844,0,,
2008-11-06,4,11699,0,16349,5656,26,0,227,0,0,1846,0,,
2008-11-06,5,11465,0,16041,5658,20,0,227,0,0,1844,0,,
2008-11-06,6,11411,0,15848,5658,33,0,226,0,0,1846,0,,
2008-11-06,7,11303,0,15236,5654,30,0,206,0,0,1768,0,,
2008-11-06,8,11421,0,14421,5655,30,0,206,0,0,1770,0,,
2008-11-06,9,11167,0,14259,5656,30,0,205,0,0,1742,0,,
2008-11-06,10,11010,0,14381,5661,21,0,206,0,0,1712,0,,
2008-11-06,11,11788,0,15565,5657,20,0,237,0,0,72,0,,
2008-11-06,12,12352,0,15674,5660,19,0,237,0,0,130,0,,
2008-11-06,13,13762,125,16743,5658,20,0,238,0,0,0,50,,
2008-11-06,14,15316,432,17543,5657,29,0,286,0,0,0,52,,
2008-11-06,15,16482,439,18937,5651,34,100,346,0,0,0,80,,
2008-11-06,16,17297,377,19821,5652,34,256,346,0,0,0,82,,
2008-11-06,17,17789,482,20136,5648,29,406,357,0,0,0,82,,
2008-11-06,18,17915,446,20303,5650,26,330,360,0,0,0,82,,
2008-11-06,19,18222,296,20506,5652,30,328,393,0,0,216,82,,
2008-11-06,20,18334,278,20522,5653,31,308,389,0,0,216,54,,
2008-11-06,21,18513,368,20450,5649,45,672,390,0,0,0,82,,
2008-11-06,22,18539,448,20435,5654,50,782,402,0,0,0,82,,
2008-11-06,23,18397,461,20477,5652,49,490,499,0,0,216,82,,
2008-11-06,24,18543,477,20576,5649,43,454,496,0,0,216,82,,
2008-11-06,25,18538,490,20606,5648,46,604,492,0,0,216,82,,
2008-11-06,26,18524,521,20559,5646,53,428,510,0,0,216,82,,
2008-11-06,27,18555,551,20559,5643,44,610,434,0,0,64,82,,
2008-11-06,28,18568,549,20621,5644,40,546,424,0,0,62,82,,
2008-11-06,29,18495,562,20888,5643,45,442,425,0,0,118,82,,
2008-11-06,30,18379,472,21100,5645,45,298,425,0,0,74,78,,
2008-11-06,31,17727,227,21068,5641,46,338,430,0,0,1040,32,,
2008-11-06,32,17923,313,21544,5644,51,362,431,0,0,1156,32,,
2008-11-06,33,18307,822,22078,5644,32,668,204,0,0,1300,60,,
2008-11-06,34,19139,1169,22249,5651,61,1660,427,128,0,532,18,,
2008-11-06,35,19264,1235,22355,5651,64,1700,743,128,0,1992,80,,
2008-11-06,36,19150,947,22394,5644,71,1704,769,11,0,1996,78,,
2008-11-06,37,18838,734,22260,5652,80,1826,509,0,0,1996,32,,
2008-11-06,38,18503,452,22138,5652,90,1590,416,0,0,1996,58,,
2008-11-06,39,18578,256,21672,5629,89,1250,406,0,0,1850,22,,
2008-11-06,40,18141,146,20836,5567,94,1312,393,0,0,1848,14,,
2008-11-06,41,18346,0,20149,5543,95,1186,391,0,0,1856,0,,
2008-11-06,42,17863,0,19596,5540,87,492,352,0,0,1854,0,,
2008-11-06,43,17033,0,19181,5547,91,396,306,0,0,1416,0,,
2008-11-06,44,15220,0,18997,5542,95,348,305,0,0,1406,0,,
2008-11-06,45,14028,0,18333,5541,93,220,305,0,0,1382,0,,
2008-11-06,46,13469,0,16969,5540,95,0,304,0,0,1386,0,,
2008-11-06,47,13393,0,15638,5535,107,0,238,0,0,1994,0,,
2008-11-06,48,13005,0,15201,5538,126,0,231,0,0,2002,0,,
2008-11-07,1,12961,0,15340,5541,124,0,225,0,0,2002,0,,
2008-11-07,2,12827,0,15149,5538,132,0,222,0,0,2002,0,,
2008-11-07,3,12482,0,15100,5539,156,0,209,0,0,2002,0,,
2008-11-07,4,11924,0,14925,5532,164,0,206,0,0,2004,0,,
2008-11-07,5,11380,0,14878,5537,190,0,189,0,0,2004,0,,
2008-11-07,6,11287,0,14692,5537,205,0,190,0,0,2004,0,,
2008-11-07,7,11288,0,14116,5544,201,0,189,0,0,1780,0,,
2008-11-07,8,11274,0,13477,5544,263,0,191,0,0,1778,0,,
2008-11-07,9,11225,0,12905,5495,334,0,192,0,0,1806,0,,
2008-11-07,10,11346,0,13426,5377,367,0,193,0,0,1088,0,,
2008-11-07,11,11859,0,14359,5329,394,0,212,0,0,0,46,,
2008-11-07,12,12183,0,14859,5338,436,0,213,0,0,0,52,,
2008-11-07,13,13422,0,15990,5332,428,0,212,0,0,0,52,,
2008-11-07,14,14607,0,17556,5336,489,0,225,0,0,0,52,,
2008-11-07,15,15615,0,18894,5337,504,278,327,0,0,0,76,,
2008-11-07,16,16254,0,19970,5329,441,578,325,0,0,0,32,,
2008-11-07,17,16729,0,20415,5331,450,524,336,0,0,0,76,,
2008-11-07,18,16852,0,20506,5327,430,400,370,0,0,0,70,,
2008-11-07,19,17045,0,20353,5333,465,464,478,0,0,350,82,,
2008-11-07,20,17031,0,20396,5329,504,524,478,0,0,292,68,,
2008-11-07,21,16942,0,20315,5333,500,648,468,0,0,118,28,,
2008-11-07,22,16974,0,20304,5329,528,658,471,0,0,182,78,,
2008-11-07,23,16974,0,20491,5324,535,936,461,0,0,0,32,,
2008-11-07,24,17009,0,20428,5326,595,946,459,0,0,0,32,,
2008-11-07,25,17049,0,20443,5323,633,814,454,0,0,0,32,,
2008-11-07,26,16878,0,20179,5328,616,718,452,0,0,0,32,,
2008-11-07,27,17015,0,19979,5324,584,566,421,0,0,0,32,,
2008-11-07,28,16894,0,20011,5323,564,492,433,0,0,0,32,,
2008-11-07,29,16975,0,20099,5326,621,180,435,0,0,0,32,,
2008-11-07,30,16823,0,19860,5324,645,196,439,0,0,0,32,,
2008-11-07,31,16401,0,19482,5333,670,0,409,0,0,750,32,,
2008-11-07,32,16499,0,19948,5331,698,0,409,0,0,754,32,,
2008-11-07,33,16781,0,20654,5331,649,484,413,0,0,784,38,,
2008-11-07,34,17876,0,21589,5331,582,1336,500,0,0,1170,78,,
2008-11-07,35,18025,0,22033,5330,545,1610,794,0,0,2006,78,,
2008-11-07,36,18054,0,21756,5325,599,1534,763,0,0,2000,32,,
