#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2015-01-01,1,3383,0,8874,8050,5202,0,440,0,1156,1006,0,854,0
2015-01-01,2,3523,0,9427,8043,5101,0,435,0,1157,1014,4,902,0
2015-01-01,3,3396,0,9566,8048,5133,0,439,0,1157,1176,0,886,0
2015-01-01,4,3189,0,8710,8052,5110,0,441,0,1157,1178,0,864,0
2015-01-01,5,3199,0,8011,8052,5089,0,430,0,1157,1284,0,880,0
2015-01-01,6,3196,0,7574,8055,5101,0,429,0,1156,1302,0,874,0
2015-01-01,7,3211,0,7740,8059,5167,0,426,0,1153,280,0,876,34
2015-01-01,8,2948,0,7405,8060,5051,0,427,0,1065,234,0,876,112
2015-01-01,9,2993,0,7693,8065,5049,0,427,0,1103,0,0,876,210
2015-01-01,10,2889,0,7398,8057,4977,0,433,0,1072,0,0,876,268
2015-01-01,11,2671,0,6775,8058,4956,0,450,0,1051,0,0,876,274
2015-01-01,12,2654,0,6727,8065,4970,0,449,0,1045,0,42,876,274
2015-01-01,13,2700,0,6948,8058,5128,0,450,0,1049,0,122,876,274
2015-01-01,14,2730,0,7158,8057,5124,0,454,0,997,0,182,876,274
2015-01-01,15,2786,0,7149,8055,5144,0,482,0,979,0,182,838,274
2015-01-01,16,2726,0,6830,8054,5242,0,482,0,989,0,182,838,274
2015-01-01,17,2735,0,6994,8054,5123,0,488,0,1074,0,182,854,274
2015-01-01,18,2987,0,7370,8052,5151,0,493,0,1041,0,182,852,274
2015-01-01,19,3106,0,7312,8059,5394,0,500,0,1018,0,182,998,274
2015-01-01,20,3342,0,8218,8052,5498,0,527,0,1135,30,182,1000,246
2015-01-01,21,3302,0,8565,8059,5523,0,531,0,1148,1278,180,1000,246
2015-01-01,22,3573,0,9097,8056,5702,0,530,0,1149,1292,152,1000,210
2015-01-01,23,3746,0,9875,8058,5636,156,521,0,1132,1486,100,992,202
2015-01-01,24,3858,0,10712,8065,5775,126,510,0,1133,1498,40,982,172
2015-01-01,25,4140,0,11060,8057,5874,334,484,0,1150,1498,0,1018,112
2015-01-01,26,4291,0,11256,8058,6030,314,497,0,1149,1498,0,1006,46
2015-01-01,27,4389,0,11335,8057,6084,250,499,0,1149,1498,0,970,44
2015-01-01,28,4704,0,10855,8052,6156,322,512,0,1147,1498,0,988,12
2015-01-01,29,4910,0,10761,8054,6079,296,533,0,1145,1498,0,984,0
2015-01-01,30,5170,0,10540,8049,5990,316,584,0,1145,1498,0,1010,0
2015-01-01,31,5138,0,10904,8050,5900,422,616,0,1144,1498,0,998,0
2015-01-01,32,5275,0,11529,8049,5717,476,617,0,1142,1498,14,1004,0
2015-01-01,33,6530,0,11788,8053,5566,532,619,0,1140,1498,62,1010,0
2015-01-01,34,7197,0,11936,8046,5546,1076,630,0,1140,1498,52,1024,0
2015-01-01,35,7560,0,11927,8054,5449,1552,648,0,1139,1498,0,970,0
2015-01-01,36,7397,0,11651,8049,5403,1618,652,0,1134,1498,0,1012,0
2015-01-01,37,7118,0,11621,8049,5211,1398,677,0,1118,1498,0,1024,0
2015-01-01,38,6865,0,11645,8053,5108,1062,679,0,939,1494,0,1014,0
2015-01-01,39,6335,0,11452,8048,5048,1152,680,0,778,1320,0,1020,0
2015-01-01,40,5977,0,11086,8058,4886,1344,679,0,776,1320,0,1002,8
2015-01-01,41,5225,0,10719,8055,5018,1282,678,0,783,1320,0,1004,42
2015-01-01,42,4292,0,10332,8054,5172,1120,694,0,776,1322,0,1006,84
2015-01-01,43,3759,0,10111,8057,5116,676,688,0,775,1194,0,992,156
2015-01-01,44,3439,0,9323,8050,5114,490,688,0,766,1208,0,1008,228
2015-01-01,45,3394,0,9483,8052,5355,348,689,0,775,0,0,1008,268
