#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2014-01-01,1,2717,0,12104,8325,4107,0,768,0,654,1990,0,1000,0
2014-01-01,2,2755,0,12545,8327,4238,0,767,0,655,1990,0,1000,0
2014-01-01,3,2752,0,12561,8327,4320,0,708,0,655,1990,0,1000,0
2014-01-01,4,2430,0,11961,8328,4407,0,716,0,654,1990,0,1000,0
2014-01-01,5,2181,0,11846,8326,4303,0,702,0,655,1742,0,882,0
2014-01-01,6,1967,0,11326,8329,4317,0,701,0,655,1742,0,878,0
2014-01-01,7,2011,0,10490,8324,4204,0,701,0,655,1742,0,664,0
2014-01-01,8,1967,0,9331,8327,4295,0,701,0,655,1742,0,660,0
2014-01-01,9,1978,0,8296,8324,4426,0,703,0,622,1742,0,612,0
2014-01-01,10,1936,0,8012,8320,4357,0,704,0,604,1742,0,606,48
2014-01-01,11,1923,0,7884,8323,4241,0,703,0,559,1742,0,858,8
2014-01-01,12,1932,0,7992,8330,4259,0,699,0,559,1742,0,858,0
2014-01-01,13,1947,0,8101,8329,4384,0,699,0,561,1742,0,878,0
2014-01-01,14,1944,0,8445,8332,4353,0,698,0,568,1742,0,878,0
2014-01-01,15,1911,0,8277,8332,4439,0,711,0,491,1742,0,878,0
2014-01-01,16,1915,0,7991,8326,4449,0,711,0,465,1742,0,878,0
2014-01-01,17,1916,0,7954,8325,4463,0,711,0,469,1742,0,878,0
2014-01-01,18,1851,0,8303,8327,4494,0,711,0,538,1742,0,878,0
2014-01-01,19,1909,0,9136,8328,4588,138,725,0,654,1990,0,786,0
2014-01-01,20,2009,0,10511,8333,4593,332,724,0,652,1990,0,782,0
2014-01-01,21,2050,0,12116,8330,4589,434,727,0,654,1990,0,1000,0
2014-01-01,22,2132,0,13560,8327,4615,436,729,0,655,1990,0,1000,0
2014-01-01,23,2417,0,14513,8292,4725,502,914,0,655,1990,0,1000,0
2014-01-01,24,2765,0,15270,8161,4807,648,913,0,671,1990,0,1000,0
2014-01-01,25,3246,0,15634,8134,4782,982,916,0,689,1990,0,1000,0
2014-01-01,26,3624,0,15747,8127,4808,772,921,0,690,1990,0,1000,0
2014-01-01,27,3750,0,15618,8126,4934,718,952,0,689,1990,0,1000,0
2014-01-01,28,4240,0,15434,8135,5086,286,937,0,666,1990,0,998,0
2014-01-01,29,4722,0,14880,8134,5127,294,904,0,654,1992,0,998,0
2014-01-01,30,4952,0,14481,8133,5128,312,906,0,655,1990,0,1000,0
2014-01-01,31,5038,0,14283,8126,5336,318,921,0,655,1992,0,1000,0
2014-01-01,32,5246,0,14443,8133,5406,298,921,0,655,1990,0,998,0
2014-01-01,33,6159,0,14927,8124,5453,468,919,0,655,1990,0,1000,0
2014-01-01,34,6599,0,15001,8127,5356,1120,900,0,655,1990,0,1000,0
2014-01-01,35,6868,0,15171,8136,5309,1512,908,0,655,1990,0,1000,0
2014-01-01,36,6627,0,15110,8130,5185,1668,929,0,654,1990,0,1000,0
2014-01-01,37,6234,0,15210,8133,5055,1174,930,0,654,1990,0,1000,0
2014-01-01,38,6019,0,15273,8130,4953,698,932,0,655,1992,0,1000,0
2014-01-01,39,4959,0,15388,8129,4967,546,936,0,654,1990,0,1000,0
2014-01-01,40,4316,0,15041,8046,5071,592,939,0,654,1990,0,1000,0
2014-01-01,41,3933,0,14650,7918,5079,678,924,0,654,1990,0,1000,0
2014-01-01,42,3423,0,13897,7927,4997,674,924,0,654,1990,0,1000,0
2014-01-01,43,3441,0,13277,7937,4797,652,754,0,655,1990,0,1000,0
2014-01-01,44,2881,0,12773,7936,4761,318,754,0,655,1990,0,1000,0
2014-01-01,45,2574,0,11795,7926,4795,294,753,0,655,1990,0,1000,0
2014-01-01,46,2618,0,10706,7900,4896,298,752,0,655,1990,0,1000,0
2014-01-01,47,2314,0,9761,8002,4984,0,673,0,665,1990,0,1000,0
2014-01-01,48,2023,0,9671,8010,4773,0,619,0,664,1992,0,1000,0
2014-01-02,1,1905,0,10430,8152,4473,0,620,0,664,1840,0,926,0
2014-01-02,2,2001,0,10684,8223,4453,0,624,0,663,1840,0,926,0
2014-01-02,3,1949,0,10549,8224,4469,0,626,0,662,1840,0,926,0
2014-01-02,4,1863,0,9959,8206,4528,0,628,0,649,1840,0,926,0
2014-01-02,5,1940,0,9122,8247,4537,0,624,0,655,1840,0,926,24
2014-01-02,6,1915,0,8977,8250,4535,0,622,0,664,1840,0,926,92
2014-01-02,7,1915,0,8392,8247,4613,0,611,0,655,1840,0,926,126
2014-01-02,8,1899,0,7913,8247,4602,0,611,0,638,1840,0,926,176
2014-01-02,9,1923,0,7826,8248,4519,0,612,0,500,1838,0,926,224
2014-01-02,10,1957,0,7797,8249,4433,0,611,0,496,1838,0,926,272
2014-01-02,11,1961,0,8180,8254,4443,0,610,0,624,1840,0,926,178
2014-01-02,12,2083,0,8946,8252,4500,0,610,0,625,1840,0,926,30
2014-01-02,13,2475,0,10318,8251,4470,0,608,0,644,1840,0,816,0
