#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2012-01-01,1,8463,0,9103,7091,3000,0,749,0,0,1746,0,992,
2012-01-01,2,8454,0,8889,6963,3071,280,759,0,0,1748,0,994,
2012-01-01,3,8455,0,8645,6941,3028,4,757,0,0,1746,0,992,
2012-01-01,4,8377,0,8297,6948,2879,0,756,0,0,1748,0,992,
2012-01-01,5,8307,0,7812,6947,2926,0,746,0,0,1748,0,992,
2012-01-01,6,8083,0,7215,6940,2948,0,747,0,0,1748,0,992,
2012-01-01,7,7946,0,6265,6945,2971,0,746,0,0,1748,0,992,
2012-01-01,8,7968,0,5681,6947,2996,0,745,0,0,1750,0,994,
2012-01-01,9,7715,0,5427,6990,3004,0,745,0,0,1748,0,992,
2012-01-01,10,7407,0,5109,7106,2970,0,746,0,0,1750,0,992,
2012-01-01,11,7278,0,5042,7113,2906,0,759,0,0,1748,0,994,
2012-01-01,12,7120,0,5042,7118,3018,0,759,0,0,1750,0,994,
2012-01-01,13,7249,0,5296,7117,2989,0,759,0,0,1548,0,994,
2012-01-01,14,7422,0,5289,7117,2895,0,759,0,0,1546,0,994,
2012-01-01,15,7328,0,5109,7121,2740,0,760,0,0,1546,0,994,
2012-01-01,16,7136,0,4975,7123,2695,0,761,0,0,1544,0,992,
2012-01-01,17,6982,0,4295,7124,2648,0,760,0,0,1748,0,994,
2012-01-01,18,6966,0,4707,7125,2633,194,760,0,0,1750,0,994,
2012-01-01,19,7277,0,5646,7122,2648,342,766,0,0,1748,0,992,
2012-01-01,20,7473,0,6937,7122,2695,300,767,0,0,1748,0,992,
2012-01-01,21,8314,0,7871,7119,2741,358,767,0,0,1748,0,994,
2012-01-01,22,8971,0,8702,7118,2690,328,767,0,0,1748,0,992,
2012-01-01,23,9547,0,9496,7116,2670,332,766,0,0,1748,0,994,
2012-01-01,24,9968,0,10246,7109,2627,304,766,0,0,1748,0,992,
2012-01-01,25,10202,0,10877,7106,2753,440,766,0,0,1748,0,992,
2012-01-01,26,10407,0,11087,7100,2723,700,765,0,0,1748,0,992,
2012-01-01,27,10652,0,11184,7105,2685,656,761,0,0,1746,0,994,
2012-01-01,28,10715,0,11133,7107,2520,880,755,0,0,1748,0,992,
2012-01-01,29,11071,0,11089,7104,2329,948,755,0,0,1746,0,994,
2012-01-01,30,11396,0,11160,7109,2328,604,754,0,0,1748,0,992,
2012-01-01,31,11737,0,11322,7108,2347,390,766,0,0,1746,0,994,
2012-01-01,32,12249,0,11480,7116,2300,286,773,0,0,1748,0,992,
2012-01-01,33,13063,0,11839,7114,2351,334,961,0,0,1748,0,992,
2012-01-01,34,13099,0,11999,7114,2305,1264,960,0,0,1748,0,994,
2012-01-01,35,13073,0,12023,7116,2304,1810,962,0,0,1746,0,992,
2012-01-01,36,13064,0,11894,7112,2311,1806,964,0,0,1748,0,994,
2012-01-01,37,13091,0,11418,7093,2371,1706,932,0,0,1746,0,992,
2012-01-01,38,13085,0,11156,6973,2182,1474,836,0,0,1748,0,992,
2012-01-01,39,13206,0,10799,6935,2192,802,837,0,0,1748,0,992,
2012-01-01,40,12981,0,9796,6932,2256,668,836,0,0,1748,0,992,
2012-01-01,41,12922,0,9510,6927,2416,432,838,0,0,1746,0,992,
2012-01-01,42,12641,0,9257,6926,2402,318,839,0,0,1748,0,992,
2012-01-01,43,11800,0,8939,6933,2482,290,755,0,0,1746,0,994,
2012-01-01,44,11158,0,8512,6932,2510,318,754,0,0,1748,0,994,
2012-01-01,45,10720,0,7980,6932,2532,278,754,0,0,1746,0,992,
2012-01-01,46,10306,0,7711,6933,2540,22,754,0,0,1748,0,992,
2012-01-01,47,9690,0,7181,6934,2550,0,754,0,0,1748,0,992,
2012-01-01,48,9242,0,7075,6984,2577,0,754,0,0,1750,0,992,
