#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2009-01-01,1,11900,0,17650,6973,94,0,246,0,0,2002,0,,
2009-01-01,2,12031,0,17770,6968,104,0,245,0,0,2002,0,,
2009-01-01,3,11754,0,18070,6970,94,0,246,0,0,2002,0,,
2009-01-01,4,11162,0,18022,6969,98,0,246,0,0,1772,0,,
2009-01-01,5,10812,0,17998,6960,110,0,246,0,0,1754,0,,
2009-01-01,6,10698,0,17935,6969,108,0,236,0,0,1754,0,,
2009-01-01,7,10735,0,17564,6964,81,0,226,0,0,1754,0,,
2009-01-01,8,10481,0,16827,6967,105,0,225,0,0,1754,0,,
2009-01-01,9,9841,0,16453,6963,98,0,225,0,0,1754,0,,
2009-01-01,10,9556,0,16037,6960,109,0,224,0,0,1754,0,,
2009-01-01,11,9513,0,15469,6987,127,0,224,0,0,1754,0,,
2009-01-01,12,9321,0,15193,7048,111,0,225,0,0,1754,0,,
2009-01-01,13,9329,0,15110,7051,117,0,225,0,0,1752,36,,
2009-01-01,14,9353,0,14876,7080,126,0,227,0,0,1754,18,,
2009-01-01,15,9214,0,14187,7095,139,0,241,0,0,1690,16,,
2009-01-01,16,9203,0,13186,7091,138,0,244,0,0,1690,16,,
2009-01-01,17,9273,0,12952,7081,123,0,246,0,0,1690,16,,
2009-01-01,18,9295,0,13307,7078,128,0,251,0,0,1688,0,,
2009-01-01,19,9406,0,13461,7080,136,0,281,0,0,1690,0,,
2009-01-01,20,9518,0,14774,7081,121,254,282,0,0,1690,0,,
2009-01-01,21,9969,0,15940,7074,119,350,288,0,0,1690,0,,
2009-01-01,22,10436,0,16984,7080,112,476,302,0,0,1690,0,,
2009-01-01,23,11250,0,17717,7093,98,400,382,0,0,1690,0,,
2009-01-01,24,11975,0,18222,7092,87,410,409,0,0,1690,0,,
2009-01-01,25,12641,0,18565,7092,74,448,424,0,0,1692,0,,
2009-01-01,26,12849,0,18723,7099,62,460,426,0,0,1690,0,,
2009-01-01,27,12922,0,18719,7092,54,464,402,0,0,1692,0,,
2009-01-01,28,12941,0,18731,6943,54,562,400,0,0,1690,0,,
2009-01-01,29,13021,0,18892,6891,51,448,401,0,0,1692,0,,
2009-01-01,30,12501,0,19246,6878,54,434,399,0,0,1690,0,,
2009-01-01,31,12987,0,18960,6870,53,426,387,0,0,1752,0,,
2009-01-01,32,13469,0,19297,6881,37,510,387,0,0,1754,0,,
2009-01-01,33,14175,0,19998,6862,34,904,387,0,0,1754,14,,
2009-01-01,34,14471,0,21005,6854,36,1548,401,0,0,1754,16,,
2009-01-01,35,14449,0,21090,6857,34,1880,577,0,0,1754,16,,
2009-01-01,36,14239,0,21104,6871,44,1946,586,0,0,1754,0,,
2009-01-01,37,13873,0,21056,6872,62,1826,401,0,0,1754,0,,
2009-01-01,38,13753,0,20894,6868,55,1240,392,0,0,1754,0,,
2009-01-01,39,14095,0,20714,6874,56,844,299,0,0,1752,0,,
2009-01-01,40,14101,0,19766,6890,50,594,287,0,0,1752,0,,
2009-01-01,41,14040,0,19179,6882,62,774,287,0,0,1752,0,,
2009-01-01,42,13269,0,18978,6885,75,374,285,0,0,1752,0,,
2009-01-01,43,12457,0,18747,6881,80,594,244,0,0,1752,0,,
2009-01-01,44,11339,0,18537,6881,80,302,255,0,0,1752,0,,
2009-01-01,45,10588,0,18061,6883,82,184,264,0,0,1750,0,,
2009-01-01,46,10543,0,17622,6880,90,36,262,0,0,1350,0,,
2009-01-01,47,10682,0,17483,6887,98,0,247,0,0,806,0,,
2009-01-01,48,10352,0,17138,6895,87,0,248,0,0,914,0,,
2009-01-02,1,10428,0,17534,6891,91,0,248,0,0,916,0,,
2009-01-02,2,10516,0,17633,6891,104,0,247,0,0,904,0,,
2009-01-02,3,10346,0,17384,6891,109,0,229,0,0,920,0,,
2009-01-02,4,10138,0,16856,6898,98,0,228,0,0,920,0,,
2009-01-02,5,10058,0,16884,6899,99,0,228,0,0,920,40,,
2009-01-02,6,9964,0,17060,6904,114,0,229,0,0,920,40,,
