#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2010-01-01,1,17705,0,9902,7897,140,0,104,0,0,1972,0,,
2010-01-01,2,17713,0,10074,7897,124,0,103,0,0,2000,0,,
2010-01-01,3,17479,0,10049,7893,138,0,90,0,0,2000,0,,
2010-01-01,4,16979,0,9673,7896,156,0,90,0,0,2000,0,,
2010-01-01,5,16386,0,9370,7900,159,0,90,0,0,2000,0,,
2010-01-01,6,16423,0,9151,7897,163,0,91,0,0,2000,0,,
2010-01-01,7,16511,0,8791,7899,199,0,91,0,0,2000,0,,
2010-01-01,8,16055,0,8296,7902,219,0,91,0,0,2000,0,,
2010-01-01,9,15517,0,7740,7926,224,0,91,0,0,2000,0,,
2010-01-01,10,15244,0,7333,7932,207,0,91,0,0,2000,0,,
2010-01-01,11,15098,0,7020,7929,238,0,91,0,0,2000,0,,
2010-01-01,12,14979,0,7011,7928,255,0,91,0,0,2000,0,,
2010-01-01,13,15011,0,7091,7928,278,0,91,0,0,2000,0,,
2010-01-01,14,14970,0,6816,7958,295,0,91,0,0,2000,0,,
2010-01-01,15,14859,0,6289,7955,272,0,106,0,0,1996,0,,
2010-01-01,16,14788,0,6119,7961,304,0,106,0,0,1728,0,,
2010-01-01,17,14567,0,6092,7964,322,0,106,0,0,1992,0,,
2010-01-01,18,14804,0,6165,7962,313,0,117,0,0,1998,0,,
2010-01-01,19,14945,0,6508,7968,294,230,192,0,0,1996,0,,
2010-01-01,20,15923,0,7078,7969,278,312,192,0,0,1998,0,,
2010-01-01,21,16830,0,7950,7973,281,318,191,0,0,1998,0,,
2010-01-01,22,17319,0,8807,7981,278,300,194,0,0,1998,0,,
2010-01-01,23,17798,0,9490,8003,257,298,278,0,0,1998,0,,
2010-01-01,24,18314,0,9873,8003,247,298,279,0,0,2000,0,,
2010-01-01,25,18570,0,10012,8020,266,634,264,0,0,1998,0,,
2010-01-01,26,18560,0,10278,8036,273,692,262,0,0,1998,0,,
2010-01-01,27,18577,0,10361,8034,293,486,253,0,0,2000,0,,
2010-01-01,28,18513,0,10369,8031,303,486,219,0,0,2000,0,,
2010-01-01,29,18608,0,10396,8028,327,328,220,0,0,2000,0,,
2010-01-01,30,18377,0,10492,8022,340,306,221,0,0,1994,0,,
2010-01-01,31,18446,0,10709,8021,359,328,232,0,0,1854,0,,
2010-01-01,32,18607,0,11369,8028,381,298,243,0,0,1854,0,,
2010-01-01,33,19134,0,12460,8040,365,614,292,0,0,1856,0,,
2010-01-01,34,19712,0,13214,8051,339,1576,352,80,0,1858,0,,
2010-01-01,35,19917,0,13461,8052,374,1816,509,216,0,1996,0,,
2010-01-01,36,19950,0,13627,8057,376,1398,542,278,0,2000,0,,
2010-01-01,37,19956,0,13440,8057,368,1102,506,228,0,2000,0,,
2010-01-01,38,19912,0,13048,8081,398,994,453,100,0,2004,0,,
2010-01-01,39,19792,0,12749,8091,387,834,255,0,0,2004,0,,
2010-01-01,40,19445,0,12040,8093,402,816,257,0,0,1984,0,,
2010-01-01,41,19154,0,11989,8085,365,878,257,0,0,1894,0,,
2010-01-01,42,18985,0,11599,8091,360,646,250,0,0,1896,0,,
2010-01-01,43,18648,0,11197,8094,374,438,126,0,0,1894,0,,
2010-01-01,44,18346,0,10494,8097,370,174,111,0,0,1898,0,,
2010-01-01,45,17921,0,9678,8093,352,140,110,0,0,1804,0,,
2010-01-01,46,17186,0,9323,8090,358,12,109,0,0,1828,0,,
2010-01-01,47,17420,0,9821,8089,343,0,91,0,0,244,0,,
2010-01-01,48,17394,0,9767,8061,325,0,91,0,0,0,0,,
2010-01-02,1,17538,0,9760,7951,315,0,91,0,0,0,0,,
2010-01-02,2,17639,0,9726,7869,324,0,92,0,0,0,0,,
2010-01-02,3,17525,0,9658,7865,320,0,92,0,0,0,0,,
2010-01-02,4,17158,0,9388,7862,320,0,92,0,0,0,0,,
2010-01-02,5,16863,0,9239,7863,355,0,92,0,0,0,0,,
2010-01-02,6,17043,0,9268,7865,352,0,92,0,0,0,0,,
2010-01-02,7,16926,0,9115,7864,325,0,93,0,0,0,0,,
2010-01-02,8,16600,0,8798,7867,324,0,93,0,0,0,0,,
2010-01-02,9,16274,0,8077,7873,326,0,92,0,0,402,0,,
2010-01-02,10,16178,0,7729,7897,354,0,92,0,0,402,0,,
2010-01-02,11,16069,0,7338,8013,375,0,92,0,0,402,0,,
2010-01-02,12,16013,0,7286,8087,469,0,91,0,0,400,0,,
2010-01-02,13,16284,0,7594,8097,455,0,91,0,0,400,0,,
2010-01-02,14,16128,0,7616,8096,458,0,93,0,0,404,0,,
2010-01-02,15,16149,0,7422,8092,483,0,111,0,0,402,0,,
2010-01-02,16,16254,0,7737,8098,483,0,129,0,0,406,0,,
2010-01-02,17,16654,0,8356,8099,510,0,128,0,0,100,0,,
2010-01-02,18,17647,0,8908,8094,538,182,146,0,0,98,0,,
2010-01-02,19,18585,0,10065,8068,591,306,226,0,0,100,0,,
2010-01-02,20,18973,0,11197,8018,597,296,226,0,0,98,0,,
2010-01-02,21,19238,0,11948,7996,550,296,226,0,0,396,0,,
2010-01-02,22,19431,0,12467,7992,532,398,233,0,0,404,0,,
