#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2011-01-01,1,11058,0,13306,8435,641,76,94,0,0,1940,0,0,
2011-01-01,2,11479,0,13402,8416,587,130,92,0,0,1940,0,0,
2011-01-01,3,11278,0,13550,8421,587,0,92,0,0,1988,0,0,
2011-01-01,4,11078,0,13110,8416,608,0,87,0,0,1992,0,0,
2011-01-01,5,10888,0,12779,8383,597,0,51,0,0,1992,0,0,
2011-01-01,6,10831,0,12248,8375,587,0,49,0,0,1992,0,0,
2011-01-01,7,10115,0,11949,8354,613,0,49,0,0,1990,0,0,
2011-01-01,8,9825,0,11695,8347,610,0,49,0,0,2000,0,0,
2011-01-01,9,9630,0,10877,8332,613,0,49,0,0,1990,0,0,
2011-01-01,10,9432,0,10251,8310,615,0,49,0,0,1992,0,0,
2011-01-01,11,9393,0,9789,8295,627,0,60,0,0,1990,0,0,
2011-01-01,12,9400,0,9327,8325,657,0,60,0,0,1992,0,0,
2011-01-01,13,9619,0,9245,8287,651,0,61,0,0,1990,0,0,
2011-01-01,14,9240,0,8817,8289,638,0,62,0,0,1998,0,0,
2011-01-01,15,8669,0,8344,8286,650,0,79,0,0,1988,0,0,
2011-01-01,16,8745,0,7937,8285,610,0,77,0,0,1992,0,0,
2011-01-01,17,8885,0,8162,8284,581,0,78,0,0,1990,0,0,
2011-01-01,18,9134,0,8571,8281,563,162,78,0,0,1998,0,0,
2011-01-01,19,9651,0,9709,8282,582,282,102,0,0,1990,0,0,
2011-01-01,20,10001,0,10910,8291,570,310,124,0,0,1990,0,0,
2011-01-01,21,10450,0,12237,8258,541,326,124,0,0,1936,0,0,
2011-01-01,22,10932,0,13271,8223,510,324,136,0,0,1934,0,0,
2011-01-01,23,11625,0,13910,8219,519,324,150,0,0,1946,0,0,
2011-01-01,24,12631,0,13898,8237,521,396,150,0,0,1958,0,0,
2011-01-01,25,13162,0,14073,8234,445,788,150,0,0,1974,0,0,
2011-01-01,26,13148,0,14265,8248,438,834,150,0,0,1976,0,0,
2011-01-01,27,13031,0,14441,8249,476,842,149,0,0,1988,0,0,
2011-01-01,28,13127,0,14655,8252,465,594,154,0,0,1996,0,0,
2011-01-01,29,13408,0,14584,8247,479,558,161,0,0,1988,0,0,
2011-01-01,30,13710,0,14499,8259,452,298,160,0,0,1990,0,0,
2011-01-01,31,13922,0,14484,8273,442,412,161,0,0,1968,0,0,
2011-01-01,32,14323,0,14660,8282,404,286,161,0,0,1980,0,0,
2011-01-01,33,15058,0,15476,8302,374,488,191,0,0,1990,0,0,
2011-01-01,34,15525,0,16313,8329,352,1048,371,0,0,1990,0,0,
2011-01-01,35,15531,0,16850,8352,345,1388,404,0,0,1988,0,0,
2011-01-01,36,15468,0,16935,8384,353,1148,401,0,0,1988,0,0,
2011-01-01,37,15228,0,16716,8391,335,1032,371,0,0,1988,0,0,
2011-01-01,38,15147,0,16208,8405,316,922,245,0,0,1998,0,0,
2011-01-01,39,14631,0,15984,8406,311,730,188,0,0,1972,0,0,
2011-01-01,40,14167,0,15879,8405,287,722,185,0,0,1972,0,0,
2011-01-01,41,13914,0,15659,8407,270,490,182,0,0,1990,0,0,
2011-01-01,42,13463,0,14975,8412,277,292,142,0,0,1990,0,0,
2011-01-01,43,13309,0,14171,8402,274,530,83,0,0,1990,0,0,
2011-01-01,44,12554,0,13920,8402,277,492,82,0,0,2000,0,0,
